Japanese,English
フェイス,face
マクシミリアン,maximilian
ミルク,milk
ハイチ,haiti
顔面,face
点す,light up
理学部,Faculty of Science
引っ張る,pull
恒例,customary
入閣,entering the cabinet
幼馴染み,childhood friend
念願,Desire
歯車,gear
祭祀,ritual
ベア,bear
アーカンソー,arkansas
ヤクザ,Yakuza
未亡人,widow
ピョートル,petr
ショパン,Chopin
ガブリエル,Gabriel
林道,forest road
沢田,Sawada
客船,passenger ship
解禁,Lifting of the ban
麻布,Azabu
夕刊,Evening paper
殺到,rush
其の場で,at that place
ロイド,Lloyd
クリー,Cree
コンサルティング,consulting
ステア,steer
愛する,love
授賞,Award
訂正,correction
マザー,mother
ムーン,moon
